Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"GOLDEN GLADES ELEMENTARY SCHOOL 155 DEL MUNDO ST NW, PALM BAY, FL, 32907-1862",http://www.mcauliffe.brevard.k12.fl.us                                                              ,13,DADE,2161,GOLDEN GLADES ELEMENTARY SCHOOL,395,800,YES,small_purple,D,C,B,C,A,D,B,B,A,C,B,B,C,D,F,NO,1,95,99,5,YES,N
"JEFFERSON DAVIS MIDDLE SCHOOL 155 DEL MUNDO ST NW, PALM BAY, FL, 32907-1862",http://www.mcauliffe.brevard.k12.fl.us                                                              ,16,DUVAL,2161,JEFFERSON DAVIS MIDDLE SCHOOL,487,900,NA,measle_turquoise,C,B,A,B,A,A,C,B,B,B,C,B,D,D,D,NO,1,98,100,5,YES,N
"PANTHER RUN ELEMENTARY SCHOOL 155 DEL MUNDO ST NW, PALM BAY, FL, 32907-1862",http://www.mcauliffe.brevard.k12.fl.us                                                              ,50,PALM BEACH,2161,PANTHER RUN ELEMENTARY SCHOOL,564,800,NA,small_green,A,B,A,A,A,A,A,A,B,A,B,A,A,A,C,NO,1,82,67,5,YES,N
"WEST HOMESTEAD ELEMENTARY SCHOOL 1550 SW 6TH ST, HOMESTEAD, FL, 33030-6711",http://whe.dadeschools.net/                                                                         ,13,DADE,5791,WEST HOMESTEAD ELEMENTARY SCHOOL,435,800,YES,small_purple,D,C,B,C,A,C,C,A,B,B,C,B,C,C,C,NO,1,86,44,4,YES,N
"INTERNATIONAL STUDIES PREPARATORY ACADEMY 1570 MADRUGA AVE, CORAL GABLES, FL, 33146-3020",                                                                                                    ,13,DADE,7571,INTERNATIONAL STUDIES PREPARATORY ACADEMY,667,800,NA,measle_turquoise,C,B,C,B,B,C,C,A,C,B,C,C,C,C,D,NO,1,95,91,5,YES,N
"JORGE MAS CANOSA MIDDLE SCHOOL 15735 SW 144TH ST, MIAMI, FL, 33196-6790",http://jmcmiddle.dadeschools.net                                                                    ,13,DADE,6771,JORGE MAS CANOSA MIDDLE SCHOOL,553,900,NA,small_purple,D,D,C,C,C,B,C,B,C,C,B,C,C,N,,NO,2,84,68,4,YES,N
"LAMAR LOUISE CURRY MIDDLE SCHOOL 15750 SW 47TH ST, MIAMI, FL, 33185-3875",http://curry.dadeschools.net/                                                                       ,13,DADE,6921,LAMAR LOUISE CURRY MIDDLE SCHOOL,646,900,NA,small_purple,D,D,C,B,A,A,C,C,B,C,A,B,A,C,C,NO,1,84,58,3,YES,N
"DR. GILBERT L. PORTER ELEMENTARY SCHOOL 15851 SW 112TH ST, MIAMI, FL, 33196-3101",http://glpsod.dade.k12.fl.us/                                                                       ,13,DADE,4511,DR. GILBERT L. PORTER ELEMENTARY SCHOOL,520,800,NA,small_purple,D,D,C,C,C,C,D,C,C,C,C,D,D,D,D,NO,1,98,87,4,YES,N
"JOHN A. FERGUSON SENIOR HIGH 15900 SW 56TH ST, MIAMI, FL, 33185-3880",http://ferguson.dadeschools.net/                                                                    ,13,DADE,7121,JOHN A. FERGUSON SENIOR HIGH,Pending,Pending,Pending,measle_turquoise,C,C,C,C,A,B,A,A,A,A,A,D,C,C,D,NO,1,87,7,1,YES,N
"NORMA BUTLER BOSSARD ELEMENTARY SCHOOL 15950 SW 144TH ST, MIAMI, FL, 33196-6791",http://bossard.dadeschools.net                                                                      ,13,DADE,125,NORMA BUTLER BOSSARD ELEMENTARY SCHOOL,508,800,NA,small_red,F,F,D,D,C,C,C,C,B,B,A,N,,,,NO,1,97,87,2,YES,N
"Q. I. ROBERTS MIDDLE SCHOOL 15950 SW 144TH ST, MIAMI, FL, 33196-6791",http://bossard.dadeschools.net                                                                      ,54,PUTNAM,125,Q. I. ROBERTS MIDDLE SCHOOL,503,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,NO,1,56,10,2,YES,N
"WOODLAWN ELEMENTARY SCHOOL 1600 16TH ST N, ST PETERSBURG, FL, 33704-4022",http://www.woodlawn-es.pinellas.k12.fl.us                                                           ,52,PINELLAS,4931,WOODLAWN ELEMENTARY SCHOOL,502,800,NA,small_green,A,A,A,A,C,B,C,C,D,D,B,B,B,C,D,NO,1,89,100,1,YES,N
"BYRNEVILLE ELEMENTARY SCHOOL, INC. 1600 BYRNEVILLE RD, CENTURY, FL, 32535-3640",                                                                                                    ,17,ESCAMBIA,2106,"BYRNEVILLE ELEMENTARY SCHOOL, INC.",510,800,NA,measle_turquoise,C,B,A,A,A,A,A,A,B,C,B,B,C,C,C,NO,2,69,26,1,YES,N
"NEWPOINT ACADEMY 1600 E MORENO ST, PENSACOLA, FL, 32503-6163",                                                                                                    ,17,ESCAMBIA,2124,NEWPOINT ACADEMY,444,800,NA,measle_turquoise,C,B,A,C,B,B,B,B,B,B,A,B,B,A,D,NO,1,66,41,1,YES,N
"IMAGINE CHARTER AT LAKEWOOD RANCH 1600 E MORENO ST, PENSACOLA, FL, 32503-6163",                                                                                                    ,41,MANATEE,2124,IMAGINE CHARTER AT LAKEWOOD RANCH,538,900,NA,small_yellow,B,,,,,,,,,,,,,,,YES,2,44,86,5,NO,N
"PINEWOOD ELEMENTARY SCHOOL 1600 SW 83RD AVE, NORTH LAUDERDALE, FL, 33068-4135",                                                                                                    ,6,BROWARD,2811,PINEWOOD ELEMENTARY SCHOOL,400,800,NA,measle_gray,Pending,B,C,D,D,D,F,F,D,F,D,F,D,D,D,NO,3,85,98,3,YES,N
"VILLAGE ACADEMY ON THE ART & SARA JO KOBACKER CAMPUS 1600 SW 83RD AVE, NORTH LAUDERDALE, FL, 33068-4135",                                                                                                    ,50,PALM BEACH,2811,VILLAGE ACADEMY ON THE ART & SARA JO KOBACKER CAMPUS,Pending,Pending,Pending,small_green,A,A,A,A,A,A,A,A,A,A,A,N,,,,YES,1,1,82,5,NO,N
"REDLAND MIDDLE SCHOOL 16001 SW 248TH ST, HOMESTEAD, FL, 33031-2071",http://redlandmiddle.dadeschools.net                                                                ,13,DADE,6761,REDLAND MIDDLE SCHOOL,493,900,NA,small_purple,D,C,B,C,B,C,B,C,C,C,C,C,C,C,D,NO,1,84,60,4,YES,N
"DELTONA HIGH SCHOOL 16001 SW 248TH ST, HOMESTEAD, FL, 33031-2071",http://redlandmiddle.dadeschools.net                                                                ,64,VOLUSIA,6761,DELTONA HIGH SCHOOL,Pending,Pending,Pending,small_green,A,B,C,C,B,C,C,B,A,A,C,C,C,C,D,NO,1,93,82,2,YES,N
"PLATO ACADEMY NORTH K-8 CHARTER SCHOOL 1601 CURLEW RD, PALM HARBOR, FL, 34683-6515",http://www.platoacademy.net/web/guest/palm-harbor                                                   ,52,PINELLAS,7281,PLATO ACADEMY NORTH K-8 CHARTER SCHOOL,681,800,NA,small_green,A,A,A,A,A,A,A,A,B,B,B,B,C,C,D,NO,1,91,94,4,YES,N
"TRAPNELL ELEMENTARY SCHOOL 1605 S TRAPNELL RD, PLANT CITY, FL, 33566-0437",                                                                                                    ,29,HILLSBOROUGH,4481,TRAPNELL ELEMENTARY SCHOOL,453,800,NA,measle_turquoise,C,B,C,B,B,B,,,,,,,,,,NO,1,52,45,4,NO,N
"MILLENNIA ELEMENTARY 16200 N DALE MABRY HWY, TAMPA, FL, 33618-1337",                                                                                                    ,48,ORANGE,1553,MILLENNIA ELEMENTARY,495,800,YES,small_yellow,B,A,B,C,C,A,C,C,C,B,B,C,C,C,D,NO,1,77,79,5,YES,N
"SANTA FE HIGH SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,1,ALACHUA,271,SANTA FE HIGH SCHOOL,Pending,Pending,Pending,measle_gray,Pending,A,A,B,B,B,B,B,A,B,B,B,B,C,C,NO,3,39,26,3,NO,N
"DILLARD ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,6,BROWARD,271,DILLARD ELEMENTARY SCHOOL,395,800,YES,measle_gray,Pending,B,C,C,D,C,C,C,D,C,C,C,C,C,C,NO,3,60,44,4,NO,N
"MIDDLEBURG ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,10,CLAY,271,MIDDLEBURG ELEMENTARY SCHOOL,472,800,NA,measle_white,I,C,B,C,B,,,,,,,,,,,YES,4,47,37,4,NO,N
"IMMOKALEE HIGH SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,11,COLLIER,271,IMMOKALEE HIGH SCHOOL,Pending,Pending,Pending,small_red,F,D,F,C,A,A,C,C,C,C,D,F,D,D,D,NO,1,96,98,2,YES,N
"WESTSIDE ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,12,COLUMBIA,271,WESTSIDE ELEMENTARY SCHOOL,547,800,NA,small_red,F,D,C,C,A,C,B,C,A,B,C,B,C,A,D,NO,1,94,80,4,YES,N
"BENT TREE ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,13,DADE,271,BENT TREE ELEMENTARY SCHOOL,544,800,NA,small_purple,D,C,B,B,C,A,B,A,B,A,A,B,A,A,C,NO,2,54,41,2,NO,N
"ENSLEY ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,17,ESCAMBIA,271,ENSLEY ELEMENTARY SCHOOL,455,800,NA,measle_turquoise,C,B,D,F,F,D,F,C,B,C,D,C,D,D,F,NO,1,94,92,2,YES,N
"MOTON ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,27,HERNANDO,271,MOTON ELEMENTARY SCHOOL,453,800,NA,measle_turquoise,C,B,B,B,B,C,A,B,A,B,C,C,C,A,D,NO,1,87,87,4,YES,N
"ALAFIA ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,271,ALAFIA ELEMENTARY SCHOOL,557,800,NA,measle_turquoise,C,C,B,C,A,B,C,B,C,C,B,D,,,D,NO,1,100,93,1,YES,N
"OSLO MIDDLE SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,31,INDIAN RIVER,271,OSLO MIDDLE SCHOOL,490,900,NA,measle_turquoise,C,C,B,B,B,B,C,B,B,C,B,C,C,C,C,NO,2,68,40,2,YES,N
"COTTONDALE ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,32,JACKSON,271,COTTONDALE ELEMENTARY SCHOOL,495,800,NA,measle_turquoise,C,B,A,A,B,B,C,C,C,C,B,C,C,C,C,NO,2,73,54,3,YES,N
"ASTATULA ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,35,LAKE,271,ASTATULA ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,A,A,A,A,A,A,A,A,A,B,C,B,A,NO,1,68,37,2,YES,N
"ORANGE RIDGE-BULLOCK ELEMENTARY 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,41,MANATEE,271,ORANGE RIDGE-BULLOCK ELEMENTARY,391,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,A,B,C,C,C,NO,1,89,99,5,YES,N
"W. C. PRYOR MIDDLE SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,46,OKALOOSA,271,W. C. PRYOR MIDDLE SCHOOL,607,900,NA,small_yellow,B,A,A,D,,,,,,,,,,,,YES,2,56,54,4,NO,N
"ORLO VISTA ELEMENTARY 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,48,ORANGE,271,ORLO VISTA ELEMENTARY,435,800,YES,small_yellow,B,A,A,C,A,B,A,A,A,A,A,B,C,C,D,NO,1,81,28,2,YES,N
"MICHIGAN AVENUE ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,49,OSCEOLA,271,MICHIGAN AVENUE ELEMENTARY SCHOOL,547,800,NA,small_yellow,B,A,A,A,,A,A,A,,B,A,N,,,,YES,1,26,24,4,NO,N
"NORTHMORE ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,50,PALM BEACH,271,NORTHMORE ELEMENTARY SCHOOL,415,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,A,A,C,A,B,NO,1,48,42,2,NO,N
"RICHEY ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,51,PASCO,271,RICHEY ELEMENTARY SCHOOL,476,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C,NO,4,78,92,5,YES,N
"BEAR CREEK ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,52,PINELLAS,271,BEAR CREEK ELEMENTARY SCHOOL,408,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,B,A,A,C,D,NO,1,52,62,5,NO,N
"WINDMILL POINT ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,56,ST. LUCIE,271,WINDMILL POINT ELEMENTARY SCHOOL,395,800,YES,small_green,A,A,A,A,A,A,,,,,,,,,,NO,1,39,56,3,NO,N
"HOLLEY-NAVARRE INTERMEDIATE 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,57,SANTA ROSA,271,HOLLEY-NAVARRE INTERMEDIATE,511,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,C,A,NO,2,38,41,5,NO,N
"GULF GATE ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,58,SARASOTA,271,GULF GATE ELEMENTARY SCHOOL,511,800,NA,small_green,A,A,A,A,A,A,,,,,,,,,,NO,2,35,55,5,NO,N
"GOLDSBORO ELEMENTARY MAGNET 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,59,SEMINOLE,271,GOLDSBORO ELEMENTARY MAGNET,532,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,B,B,C,C,NO,1,62,35,4,NO,N
"WALTON HIGH SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,66,WALTON,271,WALTON HIGH SCHOOL,Pending,Pending,Pending,measle_brown,No grade,,,,,,,,,,,,,,,YES,3,78,76,5,NO,N
"LEARNING GATE COMMUNITY SCHOOL 16215 HANNA RD, LUTZ, FL, 33549-5701",                                                                                                    ,29,HILLSBOROUGH,6613,LEARNING GATE COMMUNITY SCHOOL,579,900,NA,measle_turquoise,C,C,C,C,B,B,C,B,B,C,C,C,C,C,C,NO,2,72,38,4,NO,N
"CHRISTINA M. EVE ELEMENTARY SCHOOL 16251 SW 99TH ST, MIAMI, FL, 33196-6192",http://cme.dadeschools.net/                                                                         ,13,DADE,1691,CHRISTINA M. EVE ELEMENTARY SCHOOL,580,800,NA,small_purple,D,C,C,C,C,C,C,B,D,C,C,D,D,D,D,NO,1,97,97,5,YES,N
"S. A. HULL ELEMENTARY SCHOOL 16251 SW 99TH ST, MIAMI, FL, 33196-6192",http://cme.dadeschools.net/                                                                         ,16,DUVAL,1691,S. A. HULL ELEMENTARY SCHOOL,452,800,NA,measle_turquoise,C,C,D,C,D,C,B,B,C,C,F,D,D,D,D,NO,1,100,98,5,YES,N
"CRESTWOOD COMMUNITY MIDDLE 16251 SW 99TH ST, MIAMI, FL, 33196-6192",http://cme.dadeschools.net/                                                                         ,50,PALM BEACH,1691,CRESTWOOD COMMUNITY MIDDLE,560,900,YES,small_green,A,A,A,A,A,A,A,A,A,A,A,N,,,,NO,1,20,31,3,NO,N
"GULFPORT MONTESSOURI ELEMENTARY SCHOOL 16251 SW 99TH ST, MIAMI, FL, 33196-6192",http://cme.dadeschools.net/                                                                         ,52,PINELLAS,1691,GULFPORT MONTESSOURI ELEMENTARY SCHOOL,395,800,YES,small_green,A,B,A,A,A,A,A,A,B,B,B,A,C,C,A,NO,2,84,93,5,YES,N
"SOUTHWOOD MIDDLE SCHOOL 16301 SW 80TH AVE, PALMETTO BAY, FL, 33157-3730",http://southwood.dadeschools.net/                                                                   ,13,DADE,6861,SOUTHWOOD MIDDLE SCHOOL,619,900,NA,small_purple,D,C,B,B,B,A,C,C,C,D,C,C,C,C,D,NO,1,70,35,2,YES,N
"SAWGRASS BAY ELEMENTARY SCHOOL 16325 SUPERIOR BLVD, CLERMONT, FL, 34714-4891",http://lake.k12.fl.us/sbe                                                                           ,35,LAKE,67,SAWGRASS BAY ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,A,A,A,A,A,A,B,B,A,A,C,A,C,NO,2,76,27,1,YES,N
"A. L. MEBANE MIDDLE SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,1,ALACHUA,221,A. L. MEBANE MIDDLE SCHOOL,464,900,NA,measle_gray,Pending,B,C,D,D,C,D,C,D,C,C,C,C,C,D,NO,3,54,30,2,NO,N
"SOUTHPORT ELEMENTARY SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,3,BAY,221,SOUTHPORT ELEMENTARY SCHOOL,439,800,NA,measle_gray,Pending,B,C,C,A,,,,,,,,,,,YES,4,60,78,5,NO,N
"CROISSANT PARK ELEMENTARY SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,6,BROWARD,221,CROISSANT PARK ELEMENTARY SCHOOL,446,800,NA,measle_gray,Pending,A,B,B,B,B,D,C,B,C,C,C,C,C,C,NO,3,53,29,4,NO,N
"POINCIANA ELEMENTARY SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,11,COLLIER,221,POINCIANA ELEMENTARY SCHOOL,495,800,YES,small_red,F,F,D,D,C,C,F,C,D,C,D,D,D,D,D,NO,2,95,100,5,YES,N
"RANSOM MIDDLE SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,17,ESCAMBIA,221,RANSOM MIDDLE SCHOOL,552,900,NA,measle_turquoise,C,B,B,B,A,A,B,B,A,B,B,A,A,C,C,NO,2,80,69,2,YES,N
"POWELL MIDDLE SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,27,HERNANDO,221,POWELL MIDDLE SCHOOL,559,900,NA,measle_turquoise,C,C,B,A,A,A,A,B,A,A,,,,,,NO,1,73,73,4,YES,N
"SEBRING HIGH SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,28,HIGHLANDS,221,SEBRING HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,A,A,A,B,A,B,B,A,B,B,C,B,NO,1,81,62,3,YES,N
"HIGHLANDS ELEMENTARY SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,31,INDIAN RIVER,221,HIGHLANDS ELEMENTARY SCHOOL,435,800,YES,measle_turquoise,C,B,A,B,A,A,C,B,C,B,,,,,,NO,2,72,15,2,YES,N
"FORT MYERS HIGH SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,36,LEE,221,FORT MYERS HIGH SCHOOL,Pending,Pending,Pending,small_yellow,B,A,A,B,A,A,A,A,A,A,A,B,A,A,C,NO,1,65,38,1,NO,N
"JESSIE P. MILLER ELEMENTARY SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,41,MANATEE,221,JESSIE P. MILLER ELEMENTARY SCHOOL,451,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,A,B,C,A,C,NO,1,70,86,5,NO,N
"FORT KING MIDDLE SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,42,MARION,221,FORT KING MIDDLE SCHOOL,475,900,NA,small_yellow,B,A,B,A,A,A,A,A,A,A,A,B,C,B,C,NO,1,61,24,2,NO,N
"INDIANTOWN MIDDLE SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,43,MARTIN,221,INDIANTOWN MIDDLE SCHOOL,560,900,YES,small_yellow,B,A,B,A,A,A,A,A,B,C,B,C,B,C,C,NO,2,74,27,4,YES,N
"YULEE MIDDLE SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,45,NASSAU,221,YULEE MIDDLE SCHOOL,558,900,NA,small_yellow,B,,A,A,A,B,A,B,C,A,C,N,,,,NO,1,92,89,4,YES,N
"LAKE COMO ELEMENTARY 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,48,ORANGE,221,LAKE COMO ELEMENTARY,435,800,YES,small_yellow,B,A,A,A,A,A,A,A,C,B,,,C,D,,NO,1,70,35,1,YES,N
"MORNINGSIDE ELEMENTARY SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,56,ST. LUCIE,221,MORNINGSIDE ELEMENTARY SCHOOL,478,800,NA,small_green,A,A,A,B,A,A,A,,,,,,,,,NO,1,44,51,3,NO,N
"VENICE SENIOR HIGH SCHOOL 16401 NW 140TH ST, ALACHUA, FL, 32615-4422",http://www.sbac.edu/pages/ACPS                                                                      ,58,SARASOTA,221,VENICE SENIOR HIGH SCHOOL,Pending,Pending,Pending,small_green,A,A,A,A,A,A,A,B,A,A,,,,,,NO,1,22,50,5,NO,N
"GROVE PARK ELEMENTARY SCHOOL 1643 MILLER ST, ORANGE PARK, FL, 32073-4723",http://www.clay.k12.fl.us/gpe/                                                                      ,10,CLAY,232,GROVE PARK ELEMENTARY SCHOOL,463,800,NA,measle_white,I,C,D,C,D,D,D,D,D,C,C,C,C,C,C,NO,3,59,51,4,NO,N
"WEST CREEK ELEMENTARY 1643 MILLER ST, ORANGE PARK, FL, 32073-4723",http://www.clay.k12.fl.us/gpe/                                                                      ,48,ORANGE,232,WEST CREEK ELEMENTARY,612,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,A,A,C,A,A,NO,2,49,43,4,NO,N
"DOLPHIN BAY ELEMENTARY SCHOOL 16450 MIRAMAR PKWY, MIRAMAR, FL, 33027-4584",                                                                                                    ,6,BROWARD,3751,DOLPHIN BAY ELEMENTARY SCHOOL,501,800,NA,measle_gray,Pending,B,A,D,D,B,,,,,,,,,,YES,3,40,29,5,NO,N
"SAWGRASS LAKE ELEMENTARY SCHOOL 16450 MIRAMAR PKWY, MIRAMAR, FL, 33027-4584",                                                                                                    ,52,PINELLAS,3751,SAWGRASS LAKE ELEMENTARY SCHOOL,485,800,NA,small_green,A,D,C,C,A,A,A,C,A,B,B,B,B,B,C,NO,1,64,45,2,NO,N
"SUNRISE ELEMENTARY SCHOOL 1651 MARA LOMA BLVD SE, PALM BAY, FL, 32909-1320",http://www.sunrise.brevard.k12.fl.us                                                                ,5,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,572,800,NA,measle_gray,Pending,A,C,B,B,B,C,B,B,C,D,D,D,D,D,NO,3,81,94,5,YES,N
"ATLANTIC TECHNICAL CENTER 1651 MARA LOMA BLVD SE, PALM BAY, FL, 32909-1320",http://www.sunrise.brevard.k12.fl.us                                                                ,6,BROWARD,2221,ATLANTIC TECHNICAL CENTER,Pending,Pending,Pending,measle_gray,Pending,A,A,A,A,,B,,,,,,,,,YES,3,26,21,3,NO,N
"GREENFIELD ELEMENTARY SCHOOL 1651 MARA LOMA BLVD SE, PALM BAY, FL, 32909-1320",http://www.sunrise.brevard.k12.fl.us                                                                ,16,DUVAL,2221,GREENFIELD ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,A,A,A,A,A,A,A,A,A,B,B,B,C,NO,1,94,99,5,YES,N
"RANDALL MIDDLE SCHOOL 16510 FISHHAWK BLVD, LITHIA, FL, 33547-3820",                                                                                                    ,29,HILLSBOROUGH,3620,RANDALL MIDDLE SCHOOL,710,900,NA,measle_turquoise,C,B,A,A,A,A,A,B,D,,,,,,,YES,4,78,62,5,YES,N
"CHILES ELEMENTARY SCHOOL 16541 TAMPA PALMS BLVD W, TAMPA, FL, 33647-2762",                                                                                                    ,29,HILLSBOROUGH,772,CHILES ELEMENTARY SCHOOL,591,800,NA,measle_turquoise,C,B,A,A,A,A,A,A,B,A,A,B,N,,,NO,1,58,53,4,NO,N
"DIPLOMAT MIDDLE SCHOOL 16541 TAMPA PALMS BLVD W, TAMPA, FL, 33647-2762",                                                                                                    ,36,LEE,772,DIPLOMAT MIDDLE SCHOOL,625,900,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,A,A,A,C,C,NO,1,84,91,5,YES,N
"PINE LAKE ELEMENTARY SCHOOL 16700 SW 109TH AVE, MIAMI, FL, 33157-2817",http://pinelake.dadeschools.net/                                                                    ,13,DADE,4441,PINE LAKE ELEMENTARY SCHOOL,450,800,NA,small_purple,D,C,C,D,C,C,C,C,C,C,C,C,C,D,D,NO,1,93,77,4,YES,N
"TOWN & COUNTRY ELEMENTARY SCHOOL 16700 SW 109TH AVE, MIAMI, FL, 33157-2817",http://pinelake.dadeschools.net/                                                                    ,29,HILLSBOROUGH,4441,TOWN & COUNTRY ELEMENTARY SCHOOL,471,800,NA,measle_turquoise,C,C,B,B,A,B,C,,,,,,,,,NO,2,81,32,4,YES,N
"ETHEL F. BECKFORD/RICHMOND ELEMENTARY SCHOOL 16929 SW 104TH AVE, MIAMI, FL, 33157-4239",http://beckford.dadeschools.net/                                                                    ,13,DADE,4651,ETHEL F. BECKFORD/RICHMOND ELEMENTARY SCHOOL,328,800,NA,small_purple,D,D,F,C,C,B,C,B,B,C,A,D,C,A,D,NO,1,91,88,4,YES,N
