Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"BRYANT ELEMENTARY SCHOOL 13910 Nine Eagles Dr., Tampa, FL 33626",                                                                                                    ,29,HILLSBOROUGH,527,BRYANT ELEMENTARY SCHOOL,613,800,NA,measle_turquoise,C,C,B,B,A,B,B,A,B,B,B,B,A,C,C,NO,1,72,33,2,YES,N
"FOLSOM ELEMENTARY SCHOOL 9855 Harney Rd., Thonotosassa, FL 33592",                                                                                                    ,29,HILLSBOROUGH,1471,FOLSOM ELEMENTARY SCHOOL,441,800,NA,measle_turquoise,C,B,A,C,A,B,C,B,B,C,C,C,C,C,C,NO,1,90,64,4,YES,N
"STRAWBERRY CREST HIGH SCHOOL , BROOKSVILLE, FL, 34601-2397",                                                                                                    ,29,HILLSBOROUGH,93,STRAWBERRY CREST HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,B,A,A,A,A,A,A,B,A,B,C,C,C,NO,1,75,60,4,NO,N
"PIZZO ELEMENTARY SCHOOL , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,29,HILLSBOROUGH,3381,PIZZO ELEMENTARY SCHOOL,504,800,NA,measle_turquoise,C,C,C,D,C,C,C,B,C,C,C,D,C,D,D,NO,1,97,97,5,YES,N
"PLANT HIGH SCHOOL , BROWARD COUNTY, FL, 00000-0000",                                                                                                    ,29,HILLSBOROUGH,3411,PLANT HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,C,C,A,A,B,C,B,B,C,C,C,D,D,NO,1,90,98,5,YES,N
"SEMINOLE ELEMENTARY SCHOOL , FORT LAUDERDALE, FL, 33317-0000",                                                                                                    ,29,HILLSBOROUGH,3921,SEMINOLE ELEMENTARY SCHOOL,400,800,NA,measle_turquoise,C,C,B,C,B,C,C,B,C,B,C,C,C,D,D,NO,2,90,96,5,YES,N
"CAHOON ELEMENTARY MAGNET SCHOOL , OAKLAND PARK, FL, 33311-2998",                                                                                                    ,29,HILLSBOROUGH,681,CAHOON ELEMENTARY MAGNET SCHOOL,543,800,NA,measle_turquoise,C,B,B,B,B,C,D,C,C,C,C,F,D,A,D,NO,1,47,55,4,NO,N
"BROOKER ELEMENTARY SCHOOL , PUNTA GORDA, FL, 33950-0000",                                                                                                    ,29,HILLSBOROUGH,401,BROOKER ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,,,,,,,,,,,,,,,YES,4,48,71,1,NO,N
"STOWERS ELEMENTARY SCHOOL , TITUSVILLE, FL, 32780-0000",                                                                                                    ,29,HILLSBOROUGH,85,STOWERS ELEMENTARY SCHOOL,581,800,NA,measle_turquoise,C,C,B,C,C,,,,,,,,,,,NO,2,84,69,4,YES,N
"DESOTO ELEMENTARY SCHOOL 1 CHALLENGER DR, ROCKLEDGE, FL, 32955-2107",http://www.mcnair.ms.brevard.k12.fl.us                                                              ,29,HILLSBOROUGH,1081,DESOTO ELEMENTARY SCHOOL,462,800,NA,measle_turquoise,C,B,A,C,C,,,,,,,,,,,NO,4,88,76,2,YES,N
"DAVIS ELEMENTARY SCHOOL 100 E HARNEY POND RD NE, OKEECHOBEE, FL, 34974-2867",bgreseth@ourwayschool.com                                                                           ,29,HILLSBOROUGH,56,DAVIS ELEMENTARY SCHOOL,457,800,NA,measle_turquoise,C,B,B,A,A,A,A,A,B,A,B,A,A,B,C,NO,2,62,41,3,NO,N
"CORK ELEMENTARY SCHOOL 1000 NE 16TH AVE BLDG C, GAINESVILLE, FL, 32601-4541",http:www.swbacademy.com                                                                             ,29,HILLSBOROUGH,1001,CORK ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,A,B,A,A,A,A,A,A,A,A,A,B,C,NO,1,69,38,2,YES,N
"SHEEHY ELEMENTARY SCHOOL 1000 W WELDON ST, STARKE, FL, 32091-1444",www.mybradford.us/starke                                                                            ,29,HILLSBOROUGH,51,SHEEHY ELEMENTARY SCHOOL,321,800,NA,measle_turquoise,C,B,A,A,B,C,B,C,C,C,B,C,C,C,C,YES,1,86,69,3,YES,N
